4
  -100,2,100
  -66.67,3,100
  -33.33,4,100
  0,2,100
  -100,9,66.67
  -66.67,-1,66.67
  -33.33,3,66.67
  0,1,66.67
  -100,5,33.33
  -66.67,-5,33.33
  -33.33,-1,33.33
  0,-1,33.33
  -100,3,0
  -66.67,0,0
  -33.33,-1,0
  0,-1,0
  0,2,100
  33.33,0,100
  66.67,6,100
  100,5,100
  0,1,66.67
  33.33,-1,66.67
  66.67,2,66.67
  100,3,66.67
  0,-1,33.33
  33.33,-1,33.33
  66.67,-1,33.33
  100,2,33.33
  0,-1,0
  33.33,-1,0
  66.67,0,0
  100,-1,0
  -100,3,0
  -66.67,0,0
  -33.33,-1,0
  0,-1,0
  -100,1,-33.33
  -66.67,5,-33.33
  -33.33,-1,-33.33
  0,-1,-33.33
  -100,4,-66.67
  -66.67,2,-66.67
  -33.33,4,-66.67
  0,6,-66.67
  -100,3,-100
  -66.67,7,-100
  -33.33,8,-100
  0,7,-100
  0,-1,0
  33.33,-1,0
  66.67,0,0
  100,1,0
  0,-1,-33.33
  33.33,-1,-33.33
  66.67,1,-33.33
  100,0,-33.33
  0,6,-66.67
  33.33,8,-66.67
  66.67,2,-66.67
  100,1,-66.67
  0,7,-100
  33.33,6,-100
  66.67,5,-100
  100,4,-100
40
  -65,0,10
  -60,0,-5
  -50,0,-15
  -30,0,-40
  -30,0,-40
  -10,0,-50
  10,0,-70
  20,0,-80
  20,0,-80
  30,0,-90
  50,0,-95
  70,0,-92.5
  70,0,-92.5
  90,0,-90
  90,0,-70
  91,0,-50
  91,0,-50
  92,0,-30
  90,0,-10
  80,0,10
  80,0,10
  70,0,30
  60,0,40
  50,0,50
  50,0,50
  40,0,60
  20,0,62.5
  10,0,60
  10,0,60
  0,0,57.5
  -20,0,55
  -30,0,50
  -30,0,50
  -40,0,45
  -60,0,40
  -65,0,35
  -65,0,35
  -70,0,30
  -70,0,25
  -65,0,10
21
  0,27,0,23,0,-98,10,1
  0,-95,0,43,0,14,0,1
  0,-62,0,21,0,20,10,2
  0,-31,0,71,-35,11,0,2
  0,11,0,-22,0,-17,-20,3
  0,28,0,-13,0,20,20,1
  0,61,0,-71,0,-2,0,2
  0,82,0,23,0,1,0,3
  0,11,0,43,0,4,0,1
  0,52,0,21,13,54,0,2
  0,-90,0,71,0,0,1,1
  0,-33,0,-22,0,30,3,1
  1,29,0,-13,0,14,0,2
  1,88,0,-71,-15,24,45,2
  1,65,0,23,0,65,0,1
  1,9,0,43,0,-32,0,3
  1,-12,0,21,20,-23,0,2
  1,48,0,71,0,-87,0,1
  1,-48,0,-22,0,0,0,2
  1,-77,0,-13,0,0,1,3
  1,-32,0,-71,0,3,3,4
