4
  -12,1,12
  -8,3,12
  -4,3,12
  0,2,12
  -12,4,8
  -8,2,8
  -4,5,8
  0,0,8
  -12,3,4
  -8,-1,4
  -4,2,4
  0,2,4
  -12,2,0
  -8,0,0
  -4,2,0
  0,2,0
 
   0,2,12
  4,1,12
  8,4,12
  12,6,12
  0,0,8
  4,-5,8
  8,3,8
  12,2,8
  0,2,4
  4,2,4
  8,-1,4
  12,3,4
  0,2,0
  4,2,0
  8,1,0
  12,0,0

  -12,2,0
  -8,0,0
  -4,2,0
  0,2,0
  -12,1,-4
  -8,1,-4
  -4,2,-4
  0,2,-4
  -12,1,-8
  -8,1,-8
  -4,1,-8
  0,2,-8
  -12,1,-12
  -8,1,-12
  -4,2,-12
  0,4,-12

  0,2,0
  4,2,0
  8,1,0
  12,0,0
  0,2,-4
  4,2,-4
  8,1,-4
  12,-3,-4
  0,2,-8
  4,3,-8
  8,1,-8
  12,6,-8
  0,4,-12
  4,6,-12
  8,3,-12
  12,5,-12
40
  -65,0,10
  -60,0,-5
  -50,0,-15
  -30,0,-40
  -30,0,-40
  -10,0,-50
  10,0,-70
  20,0,-80
  20,0,-80
  30,0,-90
  50,0,-95
  70,0,-92.5
  70,0,-92.5
  90,0,-90
  90,0,-70
  91,0,-50
  91,0,-50
  92,0,-30
  90,0,-10
  80,0,10
  80,0,10
  70,0,30
  60,0,40
  50,0,50
  50,0,50
  40,0,60
  20,0,62.5
  10,0,60
  10,0,60
  0,0,57.5
  -20,0,55
  -30,0,50
  -30,0,50
  -40,0,45
  -60,0,40
  -65,0,35
  -65,0,35
  -70,0,30
  -70,0,25
  -65,0,10
3
  0,20,0,5,0,0,0,1
  0,20,0,0,0,0,0,1
  1,-20,0,0,0,0,0,1 
